,Unnamed: 0,Pulse,Op.Cam,Time,Exp.Cam,Disruption,Comments
283,283,99745,KLDT-O5WB,67.63,KLDT-E5WD,0.0,Frames: 2290-2316 in termination phase
284,284,99725,KLDT-O5WB,69.6,KLDT-E5WD,0.0,Lots of UFOs appear near limiter 4B during end of pulse.
285,285,99678,KLDT-O5WB,63.12,KLDT-E5WD,0.0,Many small UFOs through end of pulse
286,286,99676,KLDT-O5WB,69.74,KLDT-E5WD,0.0,The same UFOs seen from KLDT- E5WD. Hard to tell what they are from spectroscopy. concurrent with an O2 spike
287,287,99643,KLDT-O5WB,55.5,KLDT-E5WD,0.0,Clusters of UFOs in the termination phase. Frame 1319-1328
288,288,99639,KLDT-O5WB,54.1,KLDT-E5WD,0.0,Frames: 1211-1216
289,289,99629,KLDT-O5WB,55.79465,KLDT-E5WC,0.0,UFO is visible dropping from the upper out sausages for for about 30 frames before fragmenting at 55.81822s
290,290,99629,KLDT-O5WB,55.825,KLDT-E5WD,0.0,Many UFOs appear to come from above LH anetnna. Visible on O5WB
291,291,99608,KLDT-O5WB,52.92,KLDT-E5WD,52.896,Lots of UFOs during the disruption seen also by KLDT-E5WE
292,292,99607,KLDT-O5WB,52.96,KLDT-E5WD,52.946,"Lots of UFOs seen in the main chamber during disruption, seen also by KLDT-E5WE camera and very slightly by operational camera."
293,293,99599,KLDT-O5WB,41.45,KLDT-E5WD,0.0,"Continuous stream of UFOs above the divertor after the X-point formation until approximately 42.1 s, likely due to debris released by the disruption of the preceding pulse"
294,294,99567,KLDT-O5WB,64.875,KLDT-E5WD,0.0,UFO(s) in divertor
295,295,99543,KLDT-O5WB,47.2442,KLDT-E5WE,0.0,At the divertor
296,296,99542,KLDT-O5WB,52.1933,KLDT-E5WE,0.0,Small UFOs at the inner wall
297,297,99542,KLDT-O5WB,47.4083,KLDT-E5WE,0.0,Between 47.4083s to 47.9 small UFOs at the divertor
298,298,99516,KLDT-O5WB,42.2,KLDT-E5WD,0.0,"Spray over several frames. This is the same event as logged on the Ops Cam, but for some reason it appears 100 ms earlier."
299,299,99516,KLDT-O5WB,42.2,KLDT-E5WD,0.0,Spray over several frames.
300,300,99516,KLDT-O5WB,41.7375,KLDT-E5WD,0.0,UFO on frames 217-8. Not visible on Protection camera.
301,301,99513,KLDT-O5WB,50.8875,KLDT-E5WD,51.659,Something seems to drop at the top of the LH (but it is not seen in any other cam)
302,302,99457,KLDT-O5WB,49.4191,KLDT-E5WE,0.0,Cleaning pulse
303,303,99457,KLDT-O5WB,49.3446,KLDT-E5WE,0.0,Cleaning pulse
304,304,99457,KLDT-O5WB,49.11600000000001,KLDT-E5WE,0.0,Cleaning pulse
305,305,99422,KLDT-O5WB,41.7,KLDT-E5WD,52.332,"Strong UFO activity seen throughout the pulse with the Be II filter with two especially active spells during 41.7-43.6 s and
47.1-49.4 s"
306,306,99409,KLDT-O5WB,47.0,KLDT-E5WD,0.0,Less number of UFOs from the divertor and more mid-plane
307,307,99405,KLDT-O5WB,47.0,KLDT-E5WD,56.442,Still there.. Not really much difference with other pulses
308,308,99405,KLDT-O5WB,47.0,KLDT-E5WD,56.442,Still there.. Not really much difference with other pulses
309,309,99400,KLDT-O5WB,47.0,KLDT-E5WD,0.0,"Same as before, starting time has changed because the heating time starting time has changed"
310,310,99399,KLDT-O5WB,50.51,KLDT-E5WD,59.326,Starting from frame 920. Nothing found by DC Ivor
311,311,99398,KLDT-O5WB,50.51,KLDT-E5WD,59.177,Similar to previous pulse. Starting frame: 920
312,312,99397,KLDT-O5WB,50.51,KLDT-E5WD,58.559,"Lots of UFOs from potentially the inner strike point, DC did not find anything special. Frames:920-1151"
